TUCURUI	FURNAS	AVERMELHA	S.DO FACÃO	NOVA PONTE	SÃO SIMÃO	EMBORCAÇÃO	ITUMBIARA	CHAVANTES	CAPIVARA	TRÊS MARIAS	B. BONITA	SERRA DA MESA	IRAPE	ITAPARICA	SOBRADINHO	G. P. SOUZA	SALTO SANTIAGO	SANTA CLARA-PR	SEGREDO	G. B. MUNHOZ	MAUA	PASSO FUNDO	MACHADINHO	CAMPOS NOVOS	BARRA GRANDE
0.2535	0.3286	0.2893	0.3049	0.2883	0.2918	0.3501	0.1001	0.2715	0.2867	0.3916	0.676	0.3966	0.4806	0.3948	0.2713	0.5531	0.4027	0.8904	0.3732	0.2531	0.4766	0.586	0.166	0.696	0.3717
0.3659	0.5051	0.4033	0.3095	0.2766	0.3543	0.3292	0.2143	0.2533	0.3488	0.4257	0.8331	0.4377	0.5696	0.4303	0.2606	0.673	0.2597	1.0097	0.7265	0.2908	0.7402	0.6047	0.4702	0.2139	0.3762
0.732	0.6258	0.6175	0.3555	0.3023	0.6035	0.3638	0.2977	0.3365	0.5793	0.5037	0.8532	0.4669	0.5804	0.3367	0.3783	0.6988	0.6242	1.0105	0.7652	0.6324	0.5836	0.5167	0.2265	0.31	0.3775
0.9946	0.7165	0.8025	0.4193	0.357	0.7076	0.4039	0.3893	0.4062	0.873	0.5291	0.9357	0.4829	0.5529	0.2852	0.3851	0.6143	0.7132	0.874	0.8452	0.6135	0.7307	0.4833	0.58	0.99	0.5091
0.9938	0.705	0.9369	0.542	0.4057	0.7066	0.4587	0.6684	0.5868	1.008	0.5555	0.9976	0.5141	0.5747	0.2871	0.4753	0.5413	0.748	0.6026	0.8411	0.5005	0.8468	0.4693	0.3644	0.248	0.4547
0.9808	0.7129	0.9112	0.5702	0.4193	0.651	0.465	0.7195	0.7143	0.988	0.5178	0.9819	0.4972	0.5582	0.3928	0.4734	0.8289	1	1.0727	0.9959	0.8707	0.77	0.4257	0.3149	0.438	0.3199
0.9915	0.677	0.8379	0.6059	0.4201	0.8047	0.4631	0.7253	0.8667	0.988	0.4852	0.9724	0.4825	0.5395	0.3387	0.4641	0.9788	0.9995	1.0089	1.0021	0.9925	0.8744	0.4888	0.8807	1.0319	0.6137
0.8854	0.6067	0.6943	0.5836	0.4083	0.7996	0.4459	0.6545	0.9063	0.989	0.4297	0.9055	0.4571	0.5105	0.2682	0.4144	0.8074	0.9783	0.9573	0.7001	0.8855	0.6609	0.5818	0.7461	0.866	0.8173
0.7081	0.5369	0.6651	0.5452	0.3853	0.6854	0.4101	0.5791	0.8552	0.992	0.3658	0.7455	0.4254	0.4822	0.2852	0.3658	0.7669	0.9919	0.997	0.9959	0.9707	0.9813	0.7851	0.9971	1.0355	1.0012
0.4595	0.5032	0.5892	0.4984	0.3534	0.5843	0.3653	0.4864	0.8375	0.9631	0.3023	0.7807	0.3773	0.4546	0.2663	0.3078	0.6875	0.9707	0.7494	1.0083	0.9236	1.0115	0.8909	1	1.0035	0.9992
